review,rating,date,bank,source,sentiment_label,sentiment_score,themes
"""Why don’t your ATMs support account-to-account transfers like other countries( Kenya, Nigeria , South africa)""",4,2025-06-06,CBE,Google Play Store,NEGATIVE,0.9964652061462402,"login_issues, transactions, customer_support"
what is this app problem???,1,2025-06-05,CBE,Google Play Store,NEGATIVE,0.9996225833892822,other
the app is proactive and a good connections.,5,2025-06-05,CBE,Google Play Store,POSITIVE,0.9998679161071777,other
I cannot send to cbebirr app. through this app.,3,2025-06-05,CBE,Google Play Store,NEGATIVE,0.9953354001045227,other
good,4,2025-06-05,CBE,Google Play Store,POSITIVE,0.9998161196708679,other
not functional,1,2025-06-05,CBE,Google Play Store,NEGATIVE,0.999778687953949,other
"everytime you uninstall the app you have to reach them out physically. very oldy! if that's one of security layer, they'd check for fraud attempt via app source directly(source:- app store, play store ... etc) implicitly ! we are in 2025, physical presence for every app install is traditional(traditionally very rare).",1,2025-06-04,CBE,Google Play Store,NEGATIVE,0.9905161261558533,other
አካውንት የምናስገባበት ቦታ ስም ጽፈን ነው ከዚህ በፊት የላክንባቸውን አካዉንቶች የምንፈልገዉ ነገር ግን አዲስ አካውንቶች mr ብለዉ የሚጀምሩ በዝተዋል ግን አፕልኬሽኑ space ስንጽፍ አይቀበልም ቢስተካከል,4,2025-06-04,CBE,Google Play Store,NEGATIVE,0.9616847634315491,other
best,5,2025-06-04,CBE,Google Play Store,POSITIVE,0.9997941851615906,other
bezabih,5,2025-06-04,CBE,Google Play Store,POSITIVE,0.9654073715209961,other
Best Mobile Banking app ever,5,2025-06-04,CBE,Google Play Store,POSITIVE,0.9997294545173645,other
it was good app but it have some issues like it doesnt give me the right amount that I have in the bank and have some issues in transferring,2,2025-06-04,CBE,Google Play Store,NEGATIVE,0.9981192946434021,transactions
Good,5,2025-06-04,CBE,Google Play Store,POSITIVE,0.9998161196708679,other
👌👍,5,2025-06-04,CBE,Google Play Store,NEGATIVE,0.6970561742782593,other
very niec,5,2025-06-04,CBE,Google Play Store,POSITIVE,0.5192607641220093,other
best app of finance,5,2025-06-04,CBE,Google Play Store,POSITIVE,0.9996503591537476,other
yetemeta,1,2025-06-03,CBE,Google Play Store,POSITIVE,0.655366837978363,other
